City	population
Alexandria	5,703,824
Aswan	1,698,201
Asyut	5,071,485
Beheira	6,940,234
Beni Suef	3,618,395
Cairo	10,456,284
Dakahlia	7,058,212
Damietta	2,023,380
Faiyum	4,141,222
Gharbia	5,483,000
Giza	9,534,283
Ismailia	1,482,999
Kafr El Sheikh	3,731,540
Luxor	1,429,385
Matrouh	580,304
Minya	6,332,918
Monufia	4,743,341
New Valley	324,600
North Sinai	544,494
Port Said	835,193
Qalyubia	6,137,896
Qena	3,651,215
Red Sea	409,394
Sharqia	8,032,683
Sohag	5,714,903
South Sinai	145,934
Suez	843,385
